iter	Passed	Remaining
0	1	195
1	3	174
2	5	163
3	6	150
4	7	148
5	9	142
6	10	142
7	12	139
8	13	136
9	14	133
10	16	134
11	18	133
12	19	131
13	21	129
14	22	127
15	24	126
16	25	123
17	26	121
18	28	119
19	29	117
20	31	117
21	33	118
22	35	117
23	36	115
24	37	113
25	39	111
26	40	109
27	42	108
28	43	106
29	45	105
30	46	103
31	48	102
32	49	101
33	51	99
34	52	98
35	54	96
36	55	94
37	57	93
38	58	91
39	60	90
40	62	89
41	62	86
42	64	84
43	65	83
44	66	81
45	68	79
46	69	78
47	70	76
48	72	75
49	73	73
50	75	72
51	76	71
52	79	70
53	80	68
54	81	66
55	83	65
56	84	63
57	86	62
58	87	60
59	89	59
60	90	58
61	92	56
62	94	55
63	95	53
64	96	51
65	97	50
66	98	48
67	100	47
68	101	45
69	102	43
70	103	42
71	104	40
72	106	39
73	107	37
74	108	36
75	109	34
76	110	32
77	110	31
78	111	29
79	112	28
80	113	26
81	114	25
82	115	23
83	116	22
84	117	20
85	117	19
86	118	17
87	119	16
88	120	14
89	121	13
90	122	12
91	123	10
92	125	9
93	126	8
94	127	6
95	127	5
96	128	3
97	129	2
98	130	1
99	131	0
