iter	Passed	Remaining
0	20	20816
1	22	11323
2	24	8053
3	25	6410
4	27	5408
5	29	4946
6	31	4470
7	33	4183
8	37	4170
9	39	3933
10	49	4424
11	51	4232
12	52	3976
13	53	3754
14	54	3565
15	55	3394
16	56	3245
17	57	3111
18	61	3166
19	62	3061
20	63	2962
21	64	2871
22	65	2784
23	66	2703
24	67	2626
25	68	2555
26	69	2490
27	70	2431
28	70	2375
29	80	2606
30	91	2849
31	92	2797
32	94	2771
33	96	2734
34	97	2682
35	98	2631
36	99	2585
37	100	2543
38	101	2503
39	104	2508
40	105	2470
41	106	2430
42	107	2393
43	108	2355
44	109	2318
45	110	2282
46	110	2248
47	111	2216
48	112	2184
49	113	2154
50	114	2127
51	115	2099
52	116	2079
53	117	2057
54	119	2059
55	120	2036
56	121	2012
57	122	1988
58	123	1965
59	124	1944
60	124	1922
61	125	1902
62	126	1883
63	127	1864
64	128	1845
65	130	1843
66	131	1832
67	133	1833
68	134	1817
69	135	1801
70	136	1784
71	137	1766
72	137	1749
73	138	1733
74	139	1716
75	139	1700
76	140	1685
77	141	1669
78	141	1654
79	142	1640
80	143	1630
81	144	1619
82	145	1603
83	145	1591
84	148	1594
85	148	1581
86	149	1569
87	150	1556
88	151	1545
89	151	1533
90	152	1522
91	153	1511
92	154	1502
93	154	1492
94	155	1482
95	156	1473
96	157	1464
97	158	1455
98	158	1446
99	159	1436
100	160	1427
101	162	1427
102	163	1419
103	163	1411
104	164	1403
105	165	1394
106	166	1385
107	166	1377
108	167	1368
109	168	1360
110	168	1352
111	169	1345
112	170	1340
113	171	1334
114	172	1327
115	173	1320
116	173	1311
117	174	1305
118	175	1297
119	177	1302
120	178	1295
121	178	1287
122	179	1280
123	180	1273
124	180	1266
125	181	1260
126	182	1252
127	183	1246
128	184	1244
129	185	1238
130	185	1232
131	186	1227
132	187	1220
133	188	1215
134	188	1209
135	189	1204
136	191	1205
137	192	1204
138	193	1200
139	194	1195
140	195	1191
141	196	1187
142	202	1210
143	203	1207
144	204	1205
145	205	1201
146	206	1197
147	207	1191
148	207	1186
149	208	1181
150	209	1179
151	212	1185
152	213	1184
153	214	1180
154	215	1176
155	226	1226
156	228	1226
157	230	1228
158	232	1227
159	236	1241
160	237	1236
161	238	1234
162	239	1230
163	240	1228
164	241	1224
165	243	1221
166	244	1217
167	245	1214
168	246	1211
169	250	1221
170	251	1216
171	252	1215
172	253	1214
173	254	1210
174	255	1206
175	256	1202
176	257	1198
177	258	1193
178	259	1188
179	259	1183
180	260	1179
181	262	1181
182	263	1177
183	264	1174
184	265	1171
185	266	1167
186	268	1166
187	269	1163
188	270	1158
189	270	1154
190	271	1150
191	272	1146
192	273	1143
193	274	1139
194	275	1135
195	276	1135
196	278	1134
197	279	1134
198	281	1131
199	282	1128
200	283	1127
201	284	1125
202	285	1121
203	286	1118
204	287	1115
205	288	1111
206	289	1109
207	291	1110
208	293	1111
209	295	1111
210	297	1111
211	298	1109
212	300	1111
213	301	1108
214	302	1105
215	304	1106
216	308	1111
217	309	1111
218	310	1108
219	312	1106
220	314	1109
221	316	1108
222	319	1113
223	322	1118
224	324	1117
225	325	1115
226	327	1113
227	329	1116
228	331	1115
229	337	1128
230	339	1129
231	340	1127
232	341	1125
233	343	1124
234	347	1130
235	348	1129
236	354	1140
237	356	1142
238	358	1141
239	366	1160
240	370	1165
241	373	1168
242	378	1178
243	381	1180
244	382	1179
245	384	1177
246	387	1182
247	394	1197
248	396	1197
249	399	1197
250	400	1194
251	402	1193
252	410	1211
253	412	1211
254	414	1210
255	415	1208
256	418	1210
257	421	1211
258	426	1220
259	428	1219
260	457	1295
261	459	1295
262	469	1316
263	474	1323
264	476	1322
265	477	1318
266	479	1315
267	480	1312
268	481	1308
269	485	1312
270	486	1309
271	488	1306
272	489	1302
273	490	1299
274	491	1296
275	492	1292
276	493	1288
277	494	1283
278	499	1290
279	500	1286
280	501	1283
281	502	1279
282	503	1276
283	504	1272
284	505	1267
285	506	1263
286	506	1259
